date,zoo_strict_ret,zoo_extended_ret,benchmark_ret,zoo_strict_net_ret,zoo_extended_net_ret,zoo_strict_turnover,zoo_extended_turnover,zoo_strict_cost,zoo_extended_cost,zoo_strict_nav,zoo_extended_nav,benchmark_nav,zoo_strict_net_nav,zoo_extended_net_nav
20210104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
20210105,0.02156146097608329,0.012640310488886536,0.01856017997750281,0.02156146097608329,0.012640310488886536,0.0,0.0,0.0,0.0,1.0215614609760832,1.0126403104888866,1.0185601799775028,1.0215614609760832,1.0126403104888866
20210106,-0.015590647630147503,-0.009970876048414009,0.00901895821829557,-0.015590647630147503,-0.009970876048414009,0.0,0.0,0.0,0.0,1.0056346562054665,1.0025433994713744,1.0277465316835395,1.0056346562054665,1.0025433994713744
20210107,-0.03401320772965756,-0.0242382599185354,0.021342575702298472,-0.03401320772965756,-0.0242382599185354,0.0,0.0,0.0,0.0,0.9714297957438073,0.9782434919753752,1.0496812898387702,0.9714297957438073,0.9782434919753752
20210108,-0.018690734895567097,-0.011641852503572232,-0.005000893016610108,-0.018690734895567097,-0.011641852503572232,0.0,0.0,0.0,0.0,0.953273058961905,0.9668549255292185,1.0444319460067493,0.953273058961905,0.9668549255292185
20210111,-0.02380828753568076,-0.02591686411862159,-0.011308562197092087,-0.02380828753568076,-0.02591686411862159,0.0,0.0,0.0,0.0,0.930577259874122,0.9417970778018577,1.032620922384702,0.930577259874122,0.9417970778018577
20210112,0.006056005530920719,0.011369760895625792,0.029048656499636838,0.006056005530920719,0.011369760895625792,0.0,0.0,0.0,0.0,0.9362128409068686,0.952505085388664,1.0626171728533933,0.9362128409068686,0.952505085388664
20210113,-0.01757063804751291,-0.015496283196401962,-0.003881439661256092,-0.01757063804751291,-0.015496283196401962,0.0,0.0,0.0,0.0,0.9197629839438602,0.9377447968394682,1.0584926884139483,0.9197629839438602,0.9377447968394682
20210114,-0.0033649936981908135,0.0008547243550956322,-0.01824300389656397,-0.0033649936981908135,0.0008547243550956322,0.0,0.0,0.0,0.0,0.9166679872990601,0.938546310156191,1.0391826021747281,0.9166679872990601,0.938546310156191
20210115,0.010158772140159604,0.015994434909926174,-0.0030669312646581792,0.010158772140159604,0.015994434909926174,0.0,0.0,0.0,0.0,0.92598020851021,0.9535578280239356,1.0359955005624295,0.92598020851021,0.9535578280239356
20210118,0.0017733315123842986,0.013019617169341831,0.010786027592192715,0.0017733315123842986,0.013019617169341831,0.0,0.0,0.0,0.0,0.9276222783938053,0.9659727858936363,1.0471697766168833,0.9276222783938053,0.9659727858936363
20210119,0.019465978909558215,0.007075570402914611,-0.013604208235080795,0.019465978909558215,0.007075570402914611,0.0,0.0,0.0,0.0,0.9456793541010554,0.9728075943475263,1.0329238609183042,0.9456793541010554,0.9728075943475263
