ts_code,name,keyword,forced,weight,ret,close,pre_close,mark_close,mark_adj_factor,susp_days,variant
605199.SH,葫芦娃,葫芦,False,0.16666666666666666,0.005952380952380709,16.9,16.8,16.9,1.005,0,strict
600873.SH,梅花生物,梅花,False,0.16666666666666666,-0.015527950310559202,9.51,9.66,9.51,7.6528,0,strict
600510.SH,黑牡丹,牡丹,False,0.16666666666666666,-0.012232415902140525,6.46,6.54,6.46,6.1429,0,strict
600186.SH,莲花健康,莲花,False,0.16666666666666666,-0.0074906367041198685,2.65,2.67,2.65,5.446,0,strict
600123.SH,兰花科创,兰花,False,0.16666666666666666,-0.015552099533436836,12.66,12.86,12.66,8.426,0,strict
002431.SZ,棕榈股份,棕榈,False,0.16666666666666666,-0.010489510489510523,2.83,2.86,2.83,9.844,0,strict
688488.SH,艾迪药业,艾迪,False,0.02702702702702703,0.012762078395624377,11.11,10.97,11.11,1.002,0,extended
605199.SH,葫芦娃,葫芦,False,0.02702702702702703,0.005952380952380709,16.9,16.8,16.9,1.005,0,extended
605167.SH,利柏特,利柏,False,0.02702702702702703,0.03157894736842115,9.8,9.5,9.8,1.01,0,extended
603866.SH,桃李面包,桃李,False,0.02702702702702703,-0.024188415022278864,15.33,15.71,15.33,3.109,0,extended
603823.SH,百合花,百合,False,0.02702702702702703,0.0023515579071133885,17.05,17.01,17.05,1.5184,0,extended
603737.SH,三棵树,三棵树,False,0.02702702702702703,-0.001770538243625941,112.76,112.96,112.76,3.7,0,extended
603638.SH,艾迪精密,艾迪,False,0.02702702702702703,0.009428403064231095,17.13,16.97,17.13,4.5979,0,extended
603615.SH,茶花股份,茶花,False,0.02702702702702703,-0.007537688442210921,7.9,7.96,7.9,1.139,0,extended
603580.SH,艾艾精工,艾艾,False,0.02702702702702703,-0.0032679738562092497,15.25,15.3,15.25,2.0388,0,extended
603313.SH,梦百合,百合,False,0.02702702702702703,0.01679104477611948,10.9,10.72,10.9,1.807,0,extended
603268.SH,松发股份,松发,False,0.02702702702702703,-0.005681818181818232,14.0,14.08,14.0,1.426,0,extended
603102.SH,百合股份,百合,False,0.02702702702702703,0.014883520276100182,47.05,46.36,47.05,1.013,0,extended
601233.SH,桐昆股份,桐,False,0.02702702702702703,-0.0021141649048626032,14.16,14.19,14.16,3.1766,0,extended
601003.SH,柳钢股份,柳钢,False,0.02702702702702703,-0.02375296912114,4.11,4.21,4.11,5.5647,0,extended
600884.SH,杉杉股份,杉杉,False,0.02702702702702703,0.013561320754716943,17.19,16.96,17.19,27.811,0,extended
600873.SH,梅花生物,梅花,False,0.02702702702702703,-0.015527950310559202,9.51,9.66,9.51,7.6528,0,extended
600510.SH,黑牡丹,牡丹,False,0.02702702702702703,-0.012232415902140525,6.46,6.54,6.46,6.1429,0,extended
600493.SH,凤竹纺织,凤竹,False,0.02702702702702703,0.008756567425569184,5.76,5.71,5.76,2.6475,0,extended
600425.SH,青松建化,青松,False,0.02702702702702703,0.04645476772616153,4.28,4.09,4.28,6.1286,0,extended
600423.SH,柳化股份,柳化,False,0.02702702702702703,0.009259259259259078,3.27,3.24,3.27,3.636,0,extended
600186.SH,莲花健康,莲花,False,0.02702702702702703,-0.0074906367041198685,2.65,2.67,2.65,5.446,0,extended
600123.SH,兰花科创,兰花,False,0.02702702702702703,-0.015552099533436836,12.66,12.86,12.66,8.426,0,extended
600080.SH,金花股份,金花,False,0.02702702702702703,0.0025412960609909607,7.89,7.87,7.89,5.224,0,extended
301111.SZ,粤万年青,万年青,False,0.02702702702702703,0.0239043824701195,20.56,20.08,20.56,1.006,0,extended
300511.SZ,雪榕生物,榕,False,0.02702702702702703,-0.004166666666666874,7.17,7.2,7.17,3.0,0,extended
300132.SZ,青松股份,青松,False,0.02702702702702703,0.0015552099533437946,6.44,6.43,6.44,6.122,0,extended
300111.SZ,向日葵,向日葵,False,0.02702702702702703,-0.039164490861618884,3.68,3.83,3.68,2.244,0,extended
002737.SZ,葵花药业,葵花,False,0.02702702702702703,0.046120689655172464,24.27,23.2,24.27,5.066,0,extended
002577.SZ,雷柏科技,雷柏,False,0.02702702702702703,0.018156424581005526,14.58,14.32,14.58,2.343,0,extended
002474.SZ,榕基软件,榕,False,0.02702702702702703,-0.0351405622489962,9.61,9.96,9.61,6.273,0,extended
002431.SZ,棕榈股份,棕榈,False,0.02702702702702703,-0.010489510489510523,2.83,2.86,2.83,9.844,0,extended
002050.SZ,三花智控,三花,False,0.02702702702702703,0.007569721115537664,25.29,25.1,25.29,14.877,0,extended
001300.SZ,三柏硕,三柏,False,0.02702702702702703,-0.01679496151154647,14.05,14.29,14.05,1.0,0,extended
000812.SZ,陕西金叶,金叶,False,0.02702702702702703,-0.015490533562822595,5.72,5.81,5.72,7.386,0,extended
000789.SZ,万年青,万年青,False,0.02702702702702703,0.0,8.8,8.8,8.8,6.609,0,extended
000716.SZ,黑芝麻,黑芝麻,False,0.02702702702702703,-0.035107587768969495,8.52,8.83,8.52,3.783,0,extended
000528.SZ,柳工,柳工,False,0.02702702702702703,-0.010294117647058787,6.73,6.8,6.73,12.4325,0,extended
