ts_code,name,keyword,forced,weight,ret,close,pre_close,mark_close,mark_adj_factor,susp_days,variant
605199.SH,葫芦娃,葫芦,False,0.16666666666666666,-0.04836065573770498,23.22,24.4,23.22,1.005,0,strict
600873.SH,梅花生物,梅花,False,0.16666666666666666,0.006775067750677488,7.43,7.38,7.43,7.391,0,strict
600510.SH,黑牡丹,牡丹,False,0.16666666666666666,-0.01834862385321101,7.49,7.63,7.49,5.97,0,strict
600186.SH,莲花健康,莲花,False,0.16666666666666666,-0.009900990099009688,3.0,3.03,3.0,5.446,0,strict
600123.SH,兰花科创,兰花,False,0.16666666666666666,0.017241379310344973,10.03,9.86,10.03,8.062,0,strict
002431.SZ,棕榈股份,棕榈,False,0.16666666666666666,-0.008849557522123797,3.36,3.39,3.36,9.844,0,strict
688488.SH,艾迪药业,艾迪,False,0.02857142857142857,-0.03853442830069487,15.22,15.83,15.22,1.002,0,extended
605199.SH,葫芦娃,葫芦,False,0.02857142857142857,-0.04836065573770498,23.22,24.4,23.22,1.005,0,extended
605167.SH,利柏特,利柏,False,0.02857142857142857,0.014851485148514865,10.25,10.1,10.25,1.01,0,extended
603866.SH,桃李面包,桃李,False,0.02857142857142857,-0.02885906040268471,28.94,29.8,28.94,2.158,0,extended
603823.SH,百合花,百合,False,0.02857142857142857,-0.007467752885268353,14.62,14.73,14.62,1.482,0,extended
603737.SH,三棵树,三棵树,False,0.02857142857142857,-0.0053615075297641646,126.15,126.83,126.15,3.7,0,extended
603638.SH,艾迪精密,艾迪,False,0.02857142857142857,-0.008376288659793563,30.78,31.04,30.78,4.569,0,extended
603615.SH,茶花股份,茶花,False,0.02857142857142857,-0.049180327868852514,8.7,9.15,8.7,1.139,0,extended
603580.SH,艾艾精工,艾艾,False,0.02857142857142857,-0.013628620102214772,11.58,11.74,11.58,2.009,0,extended
603313.SH,梦百合,百合,False,0.02857142857142857,-0.022674418604651247,16.81,17.2,16.81,1.807,0,extended
603268.SH,松发股份,松发,False,0.02857142857142857,0.07707667731629386,26.97,25.04,26.97,1.426,0,extended
601233.SH,桐昆股份,桐,False,0.02857142857142857,0.008729388942773975,20.8,20.62,20.8,3.11,0,extended
601003.SH,柳钢股份,柳钢,False,0.02857142857142857,0.013307984790874583,5.33,5.26,5.33,5.335,0,extended
600884.SH,杉杉股份,杉杉,False,0.02857142857142857,-0.019441069258809285,32.28,32.92,32.28,27.406,0,extended
600873.SH,梅花生物,梅花,False,0.02857142857142857,0.006775067750677488,7.43,7.38,7.43,7.391,0,extended
600510.SH,黑牡丹,牡丹,False,0.02857142857142857,-0.01834862385321101,7.49,7.63,7.49,5.97,0,extended
600493.SH,凤竹纺织,凤竹,False,0.02857142857142857,-0.017857142857143016,6.05,6.16,6.05,2.61,0,extended
600425.SH,青松建化,青松,False,0.02857142857142857,-0.020618556701030966,3.8,3.88,3.8,5.899,0,extended
600423.SH,柳化股份,柳化,False,0.02857142857142857,-0.05122494432071267,4.26,4.49,4.26,3.636,0,extended
600186.SH,莲花健康,莲花,False,0.02857142857142857,-0.009900990099009688,3.0,3.03,3.0,5.446,0,extended
600123.SH,兰花科创,兰花,False,0.02857142857142857,0.017241379310344973,10.03,9.86,10.03,8.062,0,extended
600080.SH,金花股份,金花,False,0.02857142857142857,-0.02763157894736845,7.39,7.6,7.39,5.224,0,extended
300511.SZ,雪榕生物,榕,False,0.02857142857142857,-0.006605019815059565,7.52,7.57,7.52,3.0,0,extended
300132.SZ,青松股份,青松,False,0.02857142857142857,-0.017070979335130465,10.94,11.13,10.94,6.122,0,extended
300111.SZ,向日葵,向日葵,False,0.02857142857142857,-0.023333333333333317,2.93,3.0,2.93,2.244,0,extended
002737.SZ,葵花药业,葵花,False,0.02857142857142857,-0.01015228426395931,15.6,15.76,15.6,4.85,0,extended
002577.SZ,雷柏科技,雷柏,False,0.02857142857142857,-0.0214861235452104,10.93,11.17,10.93,2.343,0,extended
002485.SZ,雪松发展,松发,False,0.02857142857142857,-0.004310344827586077,4.62,4.64,4.62,2.958,0,extended
002474.SZ,榕基软件,榕,False,0.02857142857142857,-0.021798365122615904,7.18,7.34,7.18,6.262,0,extended
002431.SZ,棕榈股份,棕榈,False,0.02857142857142857,-0.008849557522123797,3.36,3.39,3.36,9.844,0,extended
002050.SZ,三花智控,三花,False,0.02857142857142857,0.0008726003490400203,22.94,22.92,22.94,14.693,0,extended
000812.SZ,陕西金叶,金叶,False,0.02857142857142857,-0.09999999999999987,10.53,11.7,10.53,7.386,0,extended
000789.SZ,万年青,万年青,False,0.02857142857142857,-0.00560448358686938,12.42,12.49,12.42,6.15,0,extended
000716.SZ,黑芝麻,黑芝麻,False,0.02857142857142857,-0.023255813953488413,3.36,3.44,3.36,3.783,0,extended
000528.SZ,柳工,柳工,False,0.02857142857142857,-0.003870967741935516,7.72,7.75,7.72,12.126,0,extended
