ts_code,name,keyword,forced,weight,ret,close,pre_close,mark_close,mark_adj_factor,susp_days,variant
605199.SH,葫芦娃,葫芦,False,0.16666666666666666,-0.005890052356020914,15.19,15.28,15.19,1.005,0,strict
600873.SH,梅花生物,梅花,False,0.16666666666666666,0.004282655246252709,9.38,9.34,9.38,7.998,0,strict
600510.SH,黑牡丹,牡丹,False,0.16666666666666666,0.009803921568627416,6.18,6.12,6.18,6.362,0,strict
600186.SH,莲花健康,莲花,False,0.16666666666666666,-0.02367688022284109,7.01,7.18,7.01,5.446,0,strict
600123.SH,兰花科创,兰花,False,0.16666666666666666,-0.023404255319149025,9.18,9.4,9.18,11.925,0,strict
002431.SZ,棕榈股份,棕榈,False,0.16666666666666666,-0.015748031496062964,2.5,2.54,2.5,9.844,0,strict
688488.SH,艾迪药业,艾迪,False,0.02702702702702703,0.01766190075693852,12.1,11.89,12.1,1.002,0,extended
605199.SH,葫芦娃,葫芦,False,0.02702702702702703,-0.005890052356020914,15.19,15.28,15.19,1.005,0,extended
605167.SH,利柏特,利柏,False,0.02702702702702703,-0.00460299194476399,8.65,8.69,8.65,1.014,0,extended
603866.SH,桃李面包,桃李,False,0.02702702702702703,0.016969696969696857,8.39,8.25,8.39,3.839,0,extended
603823.SH,百合花,百合,False,0.02702702702702703,0.0032017075773747017,9.4,9.37,9.4,2.001,0,extended
603737.SH,三棵树,三棵树,False,0.02702702702702703,-0.00034704147145592223,57.61,57.63,57.61,5.18,0,extended
603638.SH,艾迪精密,艾迪,False,0.02702702702702703,0.0018192844147968401,16.52,16.49,16.52,4.624,0,extended
603615.SH,茶花股份,茶花,False,0.02702702702702703,0.003027245206861595,9.94,9.91,9.94,1.152,0,extended
603580.SH,艾艾精工,艾艾,False,0.02702702702702703,-0.0007513148009015147,13.3,13.31,13.3,2.039,0,extended
603313.SH,梦百合,百合,False,0.02702702702702703,-0.04977375565610864,10.5,11.05,10.5,1.807,0,extended
603268.SH,松发股份,松发,False,0.02702702702702703,-0.028942705256940204,16.44,16.93,16.44,1.426,0,extended
603102.SH,百合股份,百合,False,0.02702702702702703,-0.005488761108206952,38.05,38.26,38.05,1.027,0,extended
601233.SH,桐昆股份,桐,False,0.02702702702702703,0.018031555221637907,13.55,13.31,13.55,3.177,0,extended
601003.SH,柳钢股份,柳钢,False,0.02702702702702703,-0.00845070422535199,3.52,3.55,3.52,5.564,0,extended
600884.SH,杉杉股份,杉杉,False,0.02702702702702703,0.0014326647564468775,13.98,13.96,13.98,28.372,0,extended
600873.SH,梅花生物,梅花,False,0.02702702702702703,0.004282655246252709,9.38,9.34,9.38,7.998,0,extended
600510.SH,黑牡丹,牡丹,False,0.02702702702702703,0.009803921568627416,6.18,6.12,6.18,6.362,0,extended
600493.SH,凤竹纺织,凤竹,False,0.02702702702702703,-0.009917355371900749,5.99,6.05,5.99,2.663,0,extended
600425.SH,青松建化,青松,False,0.02702702702702703,-0.007978723404255317,3.73,3.76,3.73,6.259,0,extended
600423.SH,柳化股份,柳化,False,0.02702702702702703,-0.012658227848101222,3.12,3.16,3.12,3.636,0,extended
600186.SH,莲花健康,莲花,False,0.02702702702702703,-0.02367688022284109,7.01,7.18,7.01,5.446,0,extended
600123.SH,兰花科创,兰花,False,0.02702702702702703,-0.023404255319149025,9.18,9.4,9.18,11.925,0,extended
600080.SH,金花股份,金花,False,0.02702702702702703,0.007002801120448154,7.19,7.14,7.19,5.224,0,extended
301111.SZ,粤万年青,万年青,False,0.02702702702702703,-0.004217185028993042,18.89,18.97,18.89,1.011,0,extended
300511.SZ,雪榕生物,榕,False,0.02702702702702703,-0.001700680272108901,5.87,5.88,5.87,3.0,0,extended
300132.SZ,青松股份,青松,False,0.02702702702702703,-0.00978473581213335,5.06,5.11,5.06,6.122,0,extended
300111.SZ,向日葵,向日葵,False,0.02702702702702703,0.0,2.86,2.86,2.86,2.244,0,extended
002737.SZ,葵花药业,葵花,False,0.02702702702702703,0.05680317040951133,24.0,22.71,24.0,5.267,0,extended
002577.SZ,雷柏科技,雷柏,False,0.02702702702702703,0.019893899204244114,15.38,15.08,15.38,2.343,0,extended
002474.SZ,榕基软件,榕,False,0.02702702702702703,-0.0028985507246377384,6.88,6.9,6.88,6.273,0,extended
002431.SZ,棕榈股份,棕榈,False,0.02702702702702703,-0.015748031496062964,2.5,2.54,2.5,9.844,0,extended
002050.SZ,三花智控,三花,False,0.02702702702702703,0.018860946745562268,27.55,27.04,27.55,15.0272,0,extended
001300.SZ,三柏硕,三柏,False,0.02702702702702703,0.011775362318840576,11.17,11.04,11.17,1.005,0,extended
000812.SZ,陕西金叶,金叶,False,0.02702702702702703,-0.004098360655737654,4.86,4.88,4.86,7.386,0,extended
000789.SZ,万年青,万年青,False,0.02702702702702703,-0.019255455712451908,7.64,7.79,7.64,6.828,0,extended
000716.SZ,黑芝麻,黑芝麻,False,0.02702702702702703,0.006568144499178974,6.13,6.09,6.13,3.783,0,extended
000528.SZ,柳工,柳工,False,0.02702702702702703,-0.007507507507507394,6.61,6.66,6.61,12.596,0,extended
