ts_code,name,keyword,forced,weight,ret,close,pre_close,mark_close,mark_adj_factor,susp_days,variant
605199.SH,葫芦娃,葫芦,False,0.16666666666666666,0.004338394793926392,13.89,13.83,13.89,1.0174,0,strict
600873.SH,梅花生物,梅花,False,0.16666666666666666,0.0029615004935834577,10.16,10.13,10.16,8.314,0,strict
600510.SH,黑牡丹,牡丹,False,0.16666666666666666,-0.052727272727272845,5.21,5.5,5.21,6.57,0,strict
600186.SH,莲花控股,莲花,False,0.16666666666666666,-0.018518518518518712,4.77,4.86,4.77,5.446,0,strict
600123.SH,兰花科创,兰花,False,0.16666666666666666,-0.005662514156285381,8.78,8.83,8.78,12.765,0,strict
002431.SZ,棕榈股份,棕榈,False,0.16666666666666666,-0.04858299595141702,2.35,2.47,2.35,9.844,0,strict
688488.SH,艾迪药业,艾迪,False,0.02631578947368421,0.015984015984015887,10.17,10.01,10.17,1.002,0,extended
605199.SH,葫芦娃,葫芦,False,0.02631578947368421,0.004338394793926392,13.89,13.83,13.89,1.0174,0,extended
605167.SH,利柏特,利柏,False,0.02631578947368421,-0.007608695652173703,9.13,9.2,9.13,1.019,0,extended
603866.SH,桃李面包,桃李,False,0.02631578947368421,-0.0075642965204237855,6.56,6.61,6.56,4.0538,0,extended
603823.SH,百合花,百合,False,0.02631578947368421,-0.002941176470588114,10.17,10.2,10.17,2.03,0,extended
603737.SH,三棵树,三棵树,False,0.02631578947368421,0.008764607679465852,48.34,47.92,48.34,5.2,0,extended
603638.SH,艾迪精密,艾迪,False,0.02631578947368421,-0.013840830449826869,17.1,17.34,17.1,4.662,0,extended
603615.SH,茶花股份,茶花,False,0.02631578947368421,0.05949429846306398,21.37,20.17,21.37,1.155,0,extended
603580.SH,艾艾精工,艾艾,False,0.02631578947368421,-0.01917930419268521,21.99,22.42,21.99,2.047,0,extended
603313.SH,梦百合,百合,False,0.02631578947368421,-0.013623978201634857,7.24,7.34,7.24,1.807,0,extended
603268.SH,松发股份,松发,False,0.02631578947368421,0.028493894165535938,45.48,44.22,45.48,1.426,0,extended
603102.SH,百合股份,百合,False,0.02631578947368421,0.0005678591709257219,35.24,35.22,35.24,1.05,0,extended
601233.SH,桐昆股份,桐,False,0.02631578947368421,-0.007917656373713555,12.53,12.63,12.53,3.1856,0,extended
601003.SH,柳钢股份,柳钢,False,0.02631578947368421,-0.0031347962382445305,3.18,3.19,3.18,5.564,0,extended
600884.SH,杉杉股份,杉杉,False,0.02631578947368421,-0.008547008547008517,9.28,9.36,9.28,28.93,0,extended
600873.SH,梅花生物,梅花,False,0.02631578947368421,0.0029615004935834577,10.16,10.13,10.16,8.314,0,extended
600589.SH,广东榕泰,榕,False,0.02631578947368421,-0.03640256959314769,4.5,4.67,4.5,5.4,0,extended
600510.SH,黑牡丹,牡丹,False,0.02631578947368421,-0.052727272727272845,5.21,5.5,5.21,6.57,0,extended
600493.SH,凤竹纺织,凤竹,False,0.02631578947368421,-0.009009009009009028,5.5,5.55,5.5,2.7273,0,extended
600425.SH,青松建化,青松,False,0.02631578947368421,-0.010152284263959421,3.9,3.94,3.9,6.431,0,extended
600423.SH,柳化股份,柳化,False,0.02631578947368421,-0.009836065573770592,3.02,3.05,3.02,3.636,0,extended
600186.SH,莲花控股,莲花,False,0.02631578947368421,-0.018518518518518712,4.77,4.86,4.77,5.446,0,extended
600123.SH,兰花科创,兰花,False,0.02631578947368421,-0.005662514156285381,8.78,8.83,8.78,12.765,0,extended
600080.SH,金花股份,金花,False,0.02631578947368421,0.013100436681222627,6.96,6.87,6.96,5.224,0,extended
301111.SZ,粤万年青,万年青,False,0.02631578947368421,0.034346846846846635,18.37,17.76,18.37,1.017,0,extended
300511.SZ,雪榕生物,榕,False,0.02631578947368421,-0.018058690744921058,4.35,4.43,4.35,3.0,0,extended
300132.SZ,青松股份,青松,False,0.02631578947368421,-0.011428571428571455,5.19,5.25,5.19,6.122,0,extended
300111.SZ,向日葵,向日葵,False,0.02631578947368421,-0.042134831460674094,3.41,3.56,3.41,2.244,0,extended
002737.SZ,葵花药业,葵花,False,0.02631578947368421,0.006511627906976791,21.64,21.5,21.64,5.552,0,extended
002577.SZ,雷柏科技,雷柏,False,0.02631578947368421,-0.03360370799536505,16.68,17.26,16.68,2.343,0,extended
002474.SZ,榕基软件,榕,False,0.02631578947368421,-0.04400000000000004,7.17,7.5,7.17,6.273,0,extended
002431.SZ,棕榈股份,棕榈,False,0.02631578947368421,-0.04858299595141702,2.35,2.47,2.35,9.844,0,extended
002050.SZ,三花智控,三花,False,0.02631578947368421,-0.020742358078602585,26.91,27.48,26.91,15.2525,0,extended
001300.SZ,三柏硕,三柏,False,0.02631578947368421,-0.0015649452269169695,12.76,12.78,12.76,1.005,0,extended
000812.SZ,陕西金叶,金叶,False,0.02631578947368421,-0.01943844492440594,4.54,4.63,4.54,7.4263,0,extended
000789.SZ,万年青,万年青,False,0.02631578947368421,0.005376344086021501,5.61,5.58,5.61,6.941,0,extended
000716.SZ,黑芝麻,黑芝麻,False,0.02631578947368421,0.1002824858757061,7.79,7.08,7.79,3.8363,0,extended
000528.SZ,柳工,柳工,False,0.02631578947368421,-0.018976897689768846,11.89,12.12,11.89,12.819,0,extended
