ts_code,name,keyword,forced,weight,ret,close,pre_close,mark_close,mark_adj_factor,susp_days,variant
605199.SH,葫芦娃,葫芦,False,0.16666666666666666,-0.012426035502958399,16.69,16.9,16.69,1.005,0,strict
600873.SH,梅花生物,梅花,False,0.16666666666666666,-0.010515247108306869,9.41,9.51,9.41,7.6528,0,strict
600510.SH,黑牡丹,牡丹,False,0.16666666666666666,0.021671826625387025,6.6,6.46,6.6,6.1429,0,strict
600186.SH,莲花健康,莲花,False,0.16666666666666666,0.0037735849056603765,2.66,2.65,2.66,5.446,0,strict
600123.SH,兰花科创,兰花,False,0.16666666666666666,0.0015797788309634964,12.68,12.66,12.68,8.426,0,strict
002431.SZ,棕榈股份,棕榈,False,0.16666666666666666,0.007067137809187329,2.85,2.83,2.85,9.844,0,strict
688488.SH,艾迪药业,艾迪,False,0.02702702702702703,0.03060306030603055,11.45,11.11,11.45,1.002,0,extended
605199.SH,葫芦娃,葫芦,False,0.02702702702702703,-0.012426035502958399,16.69,16.9,16.69,1.005,0,extended
605167.SH,利柏特,利柏,False,0.02702702702702703,-0.014285714285714346,9.66,9.8,9.66,1.01,0,extended
603866.SH,桃李面包,桃李,False,0.02702702702702703,0.015655577299412915,15.57,15.33,15.57,3.109,0,extended
603823.SH,百合花,百合,False,0.02702702702702703,-0.0058651026392961825,16.95,17.05,16.95,1.5184,0,extended
603737.SH,三棵树,三棵树,False,0.02702702702702703,0.00877970911670789,113.75,112.76,113.75,3.7,0,extended
603638.SH,艾迪精密,艾迪,False,0.02702702702702703,0.0,17.13,17.13,17.13,4.5979,0,extended
603615.SH,茶花股份,茶花,False,0.02702702702702703,0.029113924050632844,8.13,7.9,8.13,1.139,0,extended
603580.SH,艾艾精工,艾艾,False,0.02702702702702703,0.0,15.25,15.25,15.25,2.0388,0,extended
603313.SH,梦百合,百合,False,0.02702702702702703,0.008256880733944927,10.99,10.9,10.99,1.807,0,extended
603268.SH,松发股份,松发,False,0.02702702702702703,0.00642857142857145,14.09,14.0,14.09,1.426,0,extended
603102.SH,百合股份,百合,False,0.02702702702702703,-0.03846971307120073,45.24,47.05,45.24,1.013,0,extended
601233.SH,桐昆股份,桐,False,0.02702702702702703,0.010593220338982912,14.31,14.16,14.31,3.1766,0,extended
601003.SH,柳钢股份,柳钢,False,0.02702702702702703,0.0,4.11,4.11,4.11,5.5647,0,extended
600884.SH,杉杉股份,杉杉,False,0.02702702702702703,-0.008726003490401535,17.04,17.19,17.04,27.811,0,extended
600873.SH,梅花生物,梅花,False,0.02702702702702703,-0.010515247108306869,9.41,9.51,9.41,7.6528,0,extended
600510.SH,黑牡丹,牡丹,False,0.02702702702702703,0.021671826625387025,6.6,6.46,6.6,6.1429,0,extended
600493.SH,凤竹纺织,凤竹,False,0.02702702702702703,0.0017361111111111605,5.77,5.76,5.77,2.6475,0,extended
600425.SH,青松建化,青松,False,0.02702702702702703,-0.004672897196261849,4.26,4.28,4.26,6.1286,0,extended
600423.SH,柳化股份,柳化,False,0.02702702702702703,-0.003058103975535187,3.26,3.27,3.26,3.636,0,extended
600186.SH,莲花健康,莲花,False,0.02702702702702703,0.0037735849056603765,2.66,2.65,2.66,5.446,0,extended
600123.SH,兰花科创,兰花,False,0.02702702702702703,0.0015797788309634964,12.68,12.66,12.68,8.426,0,extended
600080.SH,金花股份,金花,False,0.02702702702702703,0.020278833967046994,8.05,7.89,8.05,5.224,0,extended
301111.SZ,粤万年青,万年青,False,0.02702702702702703,0.013618677042801508,20.84,20.56,20.84,1.006,0,extended
300511.SZ,雪榕生物,榕,False,0.02702702702702703,0.025104602510460206,7.35,7.17,7.35,3.0,0,extended
300132.SZ,青松股份,青松,False,0.02702702702702703,0.004658385093167627,6.47,6.44,6.47,6.122,0,extended
300111.SZ,向日葵,向日葵,False,0.02702702702702703,-0.0027173913043477826,3.67,3.68,3.67,2.244,0,extended
002737.SZ,葵花药业,葵花,False,0.02702702702702703,-0.0181293778327154,23.83,24.27,23.83,5.066,0,extended
002577.SZ,雷柏科技,雷柏,False,0.02702702702702703,0.011659807956104329,14.75,14.58,14.75,2.343,0,extended
002474.SZ,榕基软件,榕,False,0.02702702702702703,0.009365244536940764,9.7,9.61,9.7,6.273,0,extended
002431.SZ,棕榈股份,棕榈,False,0.02702702702702703,0.007067137809187329,2.85,2.83,2.85,9.844,0,extended
002050.SZ,三花智控,三花,False,0.02702702702702703,-0.021352313167259718,24.75,25.29,24.75,14.877,0,extended
001300.SZ,三柏硕,三柏,False,0.02702702702702703,0.004982206405693912,14.12,14.05,14.12,1.0,0,extended
000812.SZ,陕西金叶,金叶,False,0.02702702702702703,0.020979020979020824,5.84,5.72,5.84,7.386,0,extended
000789.SZ,万年青,万年青,False,0.02702702702702703,0.004545454545454408,8.84,8.8,8.84,6.609,0,extended
000716.SZ,黑芝麻,黑芝麻,False,0.02702702702702703,-0.010563380281690016,8.43,8.52,8.43,3.783,0,extended
000528.SZ,柳工,柳工,False,0.02702702702702703,0.002971768202080005,6.75,6.73,6.75,12.4325,0,extended
