ts_code,name,keyword,forced,weight,ret,close,pre_close,mark_close,mark_adj_factor,susp_days,variant
600873.SH,梅花生物,梅花,False,0.2,0.0062388591800355275,11.29,11.22,11.29,8.7818,0,strict
600510.SH,黑牡丹,牡丹,False,0.2,0.014897579143389406,5.45,5.37,5.45,6.6227,0,strict
600186.SH,莲花控股,莲花,False,0.2,-0.003252032520325132,6.13,6.15,6.13,5.446,0,strict
600123.SH,兰花科创,兰花,False,0.2,-0.01118881118881121,7.07,7.15,7.07,13.0525,0,strict
002431.SZ,棕榈股份,棕榈,False,0.2,-0.012448132780082943,2.38,2.41,2.38,9.844,0,strict
688488.SH,艾迪药业,艾迪,False,0.029411764705882353,-0.027888446215139417,14.64,15.06,14.64,1.002,0,extended
605167.SH,利柏特,利柏,False,0.029411764705882353,-0.0035874439461884844,11.11,11.15,11.11,1.0296,0,extended
603866.SH,桃李面包,桃李,False,0.029411764705882353,-0.0017636684303349304,5.66,5.67,5.66,4.1484,0,extended
603823.SH,百合花,百合,False,0.029411764705882353,-0.04335047759000732,13.02,13.61,13.02,2.0562,0,extended
603737.SH,三棵树,三棵树,False,0.029411764705882353,-0.021685559388861297,39.7,40.58,39.7,7.3309,0,extended
603638.SH,艾迪精密,艾迪,False,0.029411764705882353,-0.022419186652763323,18.75,19.18,18.75,4.6967,0,extended
603615.SH,茶花股份,茶花,False,0.029411764705882353,0.0017769880053308817,22.55,22.51,22.55,1.155,0,extended
603313.SH,梦百合,百合,False,0.029411764705882353,0.012865497076023136,8.66,8.55,8.66,1.8209,0,extended
603102.SH,百合股份,百合,False,0.029411764705882353,0.013895216400911181,44.51,43.9,44.51,1.05,0,extended
601233.SH,桐昆股份,桐,False,0.029411764705882353,0.012224938875305735,12.42,12.27,12.42,3.215,0,extended
601003.SH,柳钢股份,柳钢,False,0.029411764705882353,-0.09938650306748475,7.34,8.15,7.34,5.564,0,extended
600884.SH,杉杉股份,杉杉,False,0.029411764705882353,-0.0038572806171648377,10.33,10.37,10.33,28.93,0,extended
600873.SH,梅花生物,梅花,False,0.029411764705882353,0.0062388591800355275,11.29,11.22,11.29,8.7818,0,extended
600510.SH,黑牡丹,牡丹,False,0.029411764705882353,0.014897579143389406,5.45,5.37,5.45,6.6227,0,extended
600493.SH,凤竹纺织,凤竹,False,0.029411764705882353,0.01812688821752273,6.74,6.62,6.74,2.7537,0,extended
600425.SH,青松建化,青松,False,0.029411764705882353,-0.01826484018264829,4.3,4.38,4.3,6.6072,0,extended
600423.SH,柳化股份,柳化,False,0.029411764705882353,-0.034120734908136496,3.68,3.81,3.68,3.636,0,extended
600186.SH,莲花控股,莲花,False,0.029411764705882353,-0.003252032520325132,6.13,6.15,6.13,5.446,0,extended
600123.SH,兰花科创,兰花,False,0.029411764705882353,-0.01118881118881121,7.07,7.15,7.07,13.0525,0,extended
600080.SH,金花股份,金花,False,0.029411764705882353,0.007915567282321678,7.64,7.58,7.64,5.2472,0,extended
301111.SZ,粤万年青,万年青,False,0.029411764705882353,0.01510749564206848,17.47,17.21,17.47,1.0203,0,extended
300511.SZ,雪榕生物,榕,False,0.029411764705882353,-0.010654490106544956,6.5,6.57,6.5,3.0,0,extended
300132.SZ,青松股份,青松,False,0.029411764705882353,-0.024077046548956704,6.08,6.23,6.08,6.122,0,extended
300111.SZ,向日葵,向日葵,False,0.029411764705882353,0.0028985507246375164,3.46,3.45,3.46,2.244,0,extended
002737.SZ,葵花药业,葵花,False,0.029411764705882353,-0.006238303181534732,15.93,16.03,15.93,5.7288,0,extended
002577.SZ,雷柏科技,雷柏,False,0.029411764705882353,0.01658536585365855,20.84,20.5,20.84,2.343,0,extended
002474.SZ,榕基软件,榕,False,0.029411764705882353,0.012838801711840153,7.1,7.01,7.1,6.273,0,extended
002431.SZ,棕榈股份,棕榈,False,0.029411764705882353,-0.012448132780082943,2.38,2.41,2.38,9.844,0,extended
002050.SZ,三花智控,三花,False,0.029411764705882353,-0.02590860021590502,27.07,27.79,27.07,15.3956,0,extended
001300.SZ,三柏硕,三柏,False,0.029411764705882353,0.003822629969419067,13.13,13.08,13.13,1.0057,0,extended
000812.SZ,陕西金叶,金叶,False,0.029411764705882353,0.012684817540929316,4.79,4.73,4.79,7.4734,0,extended
000789.SZ,万年青,万年青,False,0.029411764705882353,-0.023474178403755763,6.24,6.39,6.24,7.1065,0,extended
000716.SZ,黑芝麻,黑芝麻,False,0.029411764705882353,-0.0016103059581320522,6.2,6.21,6.2,3.8363,0,extended
000528.SZ,柳工,柳工,False,0.029411764705882353,-0.036300777873811585,11.15,11.57,11.15,13.1799,0,extended
