ts_code,name,keyword,forced,weight,ret,close,pre_close,mark_close,mark_adj_factor,susp_days,variant
605199.SH,葫芦娃,葫芦,False,0.14285714285714285,0.008755472170106193,16.13,15.99,16.13,1.005,0,strict
600873.SH,梅花生物,梅花,False,0.14285714285714285,0.011246485473289658,10.79,10.67,10.79,7.6528,0,strict
600510.SH,黑牡丹,牡丹,False,0.14285714285714285,0.03656821378340358,7.37,7.11,7.37,6.1429,0,strict
600506.SH,香梨股份,香梨,False,0.14285714285714285,0.010456273764258617,10.63,10.52,10.63,1.327,0,strict
600186.SH,莲花健康,莲花,False,0.14285714285714285,0.012552301255229992,2.42,2.39,2.42,5.446,0,strict
600123.SH,兰花科创,兰花,False,0.14285714285714285,-0.013758146270818283,13.62,13.81,13.62,8.426,0,strict
002431.SZ,棕榈股份,棕榈,False,0.14285714285714285,0.024561403508772006,2.92,2.85,2.92,9.844,0,strict
688488.SH,艾迪药业,艾迪,False,0.02702702702702703,-0.0017605633802816323,11.34,11.36,11.34,1.002,0,extended
605199.SH,葫芦娃,葫芦,False,0.02702702702702703,0.008755472170106193,16.13,15.99,16.13,1.005,0,extended
605167.SH,利柏特,利柏,False,0.02702702702702703,-0.0026525198938993633,7.52,7.54,7.52,1.01,0,extended
603866.SH,桃李面包,桃李,False,0.02702702702702703,0.029090909090909056,14.15,13.75,14.15,3.109,0,extended
603823.SH,百合花,百合,False,0.02702702702702703,-0.0012476606363068798,16.01,16.03,16.01,1.5184,0,extended
603737.SH,三棵树,三棵树,False,0.02702702702702703,0.006224066390041472,97.0,96.4,97.0,3.7,0,extended
603638.SH,艾迪精密,艾迪,False,0.02702702702702703,-0.022200296003946685,19.82,20.27,19.82,4.5979,0,extended
603615.SH,茶花股份,茶花,False,0.02702702702702703,0.012311901504788336,7.4,7.31,7.4,1.139,0,extended
603580.SH,艾艾精工,艾艾,False,0.02702702702702703,-0.022746419545071617,11.6,11.87,11.6,2.009,0,extended
603313.SH,梦百合,百合,False,0.02702702702702703,0.030647985989492144,11.77,11.42,11.77,1.807,0,extended
603268.SH,松发股份,松发,False,0.02702702702702703,0.055462184873949605,18.84,17.85,18.84,1.426,0,extended
603102.SH,百合股份,百合,False,0.02702702702702703,0.017450682852807153,40.23,39.54,40.23,1.013,0,extended
601233.SH,桐昆股份,桐,False,0.02702702702702703,0.0,14.24,14.24,14.24,3.1766,0,extended
601003.SH,柳钢股份,柳钢,False,0.02702702702702703,0.002732240437158584,3.67,3.66,3.67,5.5647,0,extended
600884.SH,杉杉股份,杉杉,False,0.02702702702702703,0.0018018018018017834,27.8,27.75,27.8,27.811,0,extended
600873.SH,梅花生物,梅花,False,0.02702702702702703,0.011246485473289658,10.79,10.67,10.79,7.6528,0,extended
600510.SH,黑牡丹,牡丹,False,0.02702702702702703,0.03656821378340358,7.37,7.11,7.37,6.1429,0,extended
600506.SH,香梨股份,香梨,False,0.02702702702702703,0.010456273764258617,10.63,10.52,10.63,1.327,0,extended
600493.SH,凤竹纺织,凤竹,False,0.02702702702702703,0.0183486238532109,5.55,5.45,5.55,2.6475,0,extended
600425.SH,青松建化,青松,False,0.02702702702702703,0.019512195121951237,4.18,4.1,4.18,6.1286,0,extended
600423.SH,柳化股份,柳化,False,0.02702702702702703,0.03921568627450989,3.71,3.57,3.71,3.636,0,extended
600186.SH,莲花健康,莲花,False,0.02702702702702703,0.012552301255229992,2.42,2.39,2.42,5.446,0,extended
600123.SH,兰花科创,兰花,False,0.02702702702702703,-0.013758146270818283,13.62,13.81,13.62,8.426,0,extended
600080.SH,金花股份,金花,False,0.02702702702702703,0.019920318725099584,7.68,7.53,7.68,5.224,0,extended
301111.SZ,粤万年青,万年青,False,0.02702702702702703,0.00794979079497904,24.09,23.9,24.09,1.006,0,extended
300511.SZ,雪榕生物,榕,False,0.02702702702702703,0.008823529411764897,6.86,6.8,6.86,3.0,0,extended
300132.SZ,青松股份,青松,False,0.02702702702702703,0.019323671497584405,6.33,6.21,6.33,6.122,0,extended
300111.SZ,向日葵,向日葵,False,0.02702702702702703,0.020338983050847137,3.01,2.95,3.01,2.244,0,extended
002737.SZ,葵花药业,葵花,False,0.02702702702702703,0.012034383954154793,17.66,17.45,17.66,5.066,0,extended
002577.SZ,雷柏科技,雷柏,False,0.02702702702702703,0.037878787878787845,12.33,11.88,12.33,2.343,0,extended
002474.SZ,榕基软件,榕,False,0.02702702702702703,0.026755852842809347,6.14,5.98,6.14,6.273,0,extended
002431.SZ,棕榈股份,棕榈,False,0.02702702702702703,0.024561403508772006,2.92,2.85,2.92,9.844,0,extended
002050.SZ,三花智控,三花,False,0.02702702702702703,-0.022108843537414824,28.75,29.4,28.75,14.825,0,extended
000812.SZ,陕西金叶,金叶,False,0.02702702702702703,0.04347826086956519,6.24,5.98,6.24,7.386,0,extended
000789.SZ,万年青,万年青,False,0.02702702702702703,0.004094165813715689,9.81,9.77,9.81,6.609,0,extended
000716.SZ,黑芝麻,黑芝麻,False,0.02702702702702703,0.021943573667711602,3.26,3.19,3.26,3.783,0,extended
000528.SZ,柳工,柳工,False,0.02702702702702703,0.011513157894736947,6.15,6.08,6.15,12.4325,0,extended
