ts_code,name,keyword,forced,weight,ret,close,pre_close,mark_close,mark_adj_factor,susp_days,variant
605199.SH,葫芦娃,葫芦,False,0.16666666666666666,0.014123006833713037,22.26,21.95,22.26,1.005,0,strict
600873.SH,梅花生物,梅花,False,0.16666666666666666,0.0,6.05,6.05,6.05,7.391,0,strict
600510.SH,黑牡丹,牡丹,False,0.16666666666666666,0.0,7.87,7.87,7.87,5.97,0,strict
600186.SH,莲花健康,莲花,False,0.16666666666666666,0.05211726384364823,3.23,3.07,3.23,5.446,0,strict
600123.SH,兰花科创,兰花,False,0.16666666666666666,-0.054545454545454564,7.8,8.25,7.8,8.062,0,strict
002431.SZ,棕榈股份,棕榈,False,0.16666666666666666,0.0036363636363636598,2.76,2.75,2.76,9.844,0,strict
688488.SH,艾迪药业,艾迪,False,0.029411764705882353,0.031249999999999778,20.79,20.16,20.79,1.002,0,extended
605199.SH,葫芦娃,葫芦,False,0.029411764705882353,0.014123006833713037,22.26,21.95,22.26,1.005,0,extended
605167.SH,利柏特,利柏,False,0.029411764705882353,-0.09973285841496005,10.11,11.23,10.11,1.0,0,extended
603866.SH,桃李面包,桃李,False,0.029411764705882353,0.08853980721170984,30.49,28.01,30.49,2.158,0,extended
603823.SH,百合花,百合,False,0.029411764705882353,-0.054054054054053946,16.1,17.02,16.1,1.482,0,extended
603737.SH,三棵树,三棵树,False,0.029411764705882353,0.0028280883326314843,166.66,166.19,166.66,3.7,0,extended
603638.SH,艾迪精密,艾迪,False,0.029411764705882353,0.060927152317880706,40.05,37.75,40.05,4.569,0,extended
603615.SH,茶花股份,茶花,False,0.029411764705882353,-0.0066079295154184425,9.02,9.08,9.02,1.139,0,extended
603580.SH,艾艾精工,艾艾,False,0.029411764705882353,0.00908173562058523,10.0,9.91,10.0,2.009,0,extended
603313.SH,梦百合,百合,False,0.029411764705882353,-0.0022831050228310223,17.48,17.52,17.48,1.807,0,extended
603268.SH,松发股份,松发,False,0.029411764705882353,0.011384062312762122,16.88,16.69,16.88,1.426,0,extended
601233.SH,桐昆股份,桐,False,0.029411764705882353,-0.02841108383023505,27.7,28.51,27.7,3.11,0,extended
601003.SH,柳钢股份,柳钢,False,0.029411764705882353,0.0031746031746031633,6.32,6.3,6.32,5.335,0,extended
600884.SH,杉杉股份,杉杉,False,0.029411764705882353,-0.07938180540920259,26.21,28.47,26.21,27.406,0,extended
600873.SH,梅花生物,梅花,False,0.029411764705882353,0.0,6.05,6.05,6.05,7.391,0,extended
600510.SH,黑牡丹,牡丹,False,0.029411764705882353,0.0,7.87,7.87,7.87,5.97,0,extended
600493.SH,凤竹纺织,凤竹,False,0.029411764705882353,0.0,4.57,4.57,4.57,2.61,0,extended
600425.SH,青松建化,青松,False,0.029411764705882353,-0.019021739130434923,3.61,3.68,3.61,5.899,0,extended
600423.SH,柳化股份,柳化,False,0.029411764705882353,-0.013404825737265424,3.68,3.73,3.68,3.636,0,extended
600186.SH,莲花健康,莲花,False,0.029411764705882353,0.05211726384364823,3.23,3.07,3.23,5.446,0,extended
600123.SH,兰花科创,兰花,False,0.029411764705882353,-0.054545454545454564,7.8,8.25,7.8,8.062,0,extended
600080.SH,金花股份,金花,False,0.029411764705882353,-0.004341534008683312,6.88,6.91,6.88,5.224,0,extended
300511.SZ,雪榕生物,榕,False,0.029411764705882353,-0.1142131979695431,6.98,7.88,6.98,3.0,0,extended
300132.SZ,青松股份,青松,False,0.029411764705882353,0.0006535947712418277,15.31,15.3,15.31,6.122,0,extended
300111.SZ,向日葵,向日葵,False,0.029411764705882353,0.024242424242424176,3.38,3.3,3.38,2.244,0,extended
002737.SZ,葵花药业,葵花,False,0.029411764705882353,0.011842105263158098,15.38,15.2,15.38,4.85,0,extended
002577.SZ,雷柏科技,雷柏,False,0.029411764705882353,-0.008387698042870428,10.64,10.73,10.64,2.343,0,extended
002474.SZ,榕基软件,榕,False,0.029411764705882353,0.024671052631578982,6.23,6.08,6.23,6.262,0,extended
002431.SZ,棕榈股份,棕榈,False,0.029411764705882353,0.0036363636363636598,2.76,2.75,2.76,9.844,0,extended
002050.SZ,三花智控,三花,False,0.029411764705882353,-0.0077027639329408926,21.9,22.07,21.9,14.693,0,extended
000812.SZ,陕西金叶,金叶,False,0.029411764705882353,0.006430868167202508,3.13,3.11,3.13,7.386,0,extended
000789.SZ,万年青,万年青,False,0.029411764705882353,-0.0009115770282588365,10.96,10.97,10.96,6.15,0,extended
000716.SZ,黑芝麻,黑芝麻,False,0.029411764705882353,-0.006369426751592244,3.12,3.14,3.12,3.783,0,extended
000528.SZ,柳工,柳工,False,0.029411764705882353,-0.008905852417302795,7.79,7.86,7.79,12.126,0,extended
