ts_code,name,keyword,forced,weight,ret,close,pre_close,mark_close,mark_adj_factor,susp_days,variant
603733.SH,仙鹤股份,仙鹤,False,0.09090909090909091,-0.018436109345200236,30.88,31.46,30.88,1.064,0,strict
603269.SH,海鸥股份,海鸥,False,0.09090909090909091,0.007346189164371131,10.97,10.89,10.97,1.133,0,strict
603116.SH,红蜻蜓,蜻蜓,False,0.09090909090909091,-0.018741633199464425,7.33,7.47,7.33,1.535,0,strict
603029.SH,天鹅股份,天鹅,False,0.09090909090909091,0.009508716323296529,12.74,12.62,12.74,1.021,0,strict
600775.SH,南京熊猫,熊猫,False,0.09090909090909091,-0.010139416983523386,7.81,7.89,7.81,1.459,0,strict
300999.SZ,金龙鱼,金龙鱼,False,0.09090909090909091,0.005759617474462075,92.55,92.02,92.55,1.001,0,strict
300898.SZ,熊猫乳品,熊猫,False,0.09090909090909091,0.010790464240903352,40.28,39.85,40.28,1.004,0,strict
300783.SZ,三只松鼠,松鼠,False,0.09090909090909091,-0.021146807645384236,48.14,49.18,48.14,1.003,0,strict
003011.SZ,海象新材,海象,False,0.09090909090909091,-0.008733624454148492,31.78,32.06,31.78,1.409,0,strict
002084.SZ,海鸥住工,海鸥,False,0.09090909090909091,-0.010582010582010581,5.61,5.67,5.61,3.025,0,strict
000572.SZ,海马汽车,海马,False,0.09090909090909091,0.05919003115264809,6.8,6.42,6.8,4.656,0,strict
688575.SH,亚辉龙,龙,False,0.007194244604316547,-0.0879531783449845,56.1,61.51,56.1,1.0,0,extended
688360.SH,德马科技,马,False,0.007194244604316547,0.001112759643916883,26.99,26.96,26.99,1.013,0,extended
688357.SH,建龙微纳,龙,False,0.007194244604316547,0.025499412455934234,87.27,85.1,87.27,1.02,0,extended
688078.SH,龙软科技,龙,False,0.007194244604316547,-0.017038007863696025,37.5,38.15,37.5,1.015,0,extended
688077.SH,大地熊,熊,False,0.007194244604316547,-0.0023452153110048446,41.33,41.43,41.33,1.009,0,extended
688055.SH,龙腾光电,龙,False,0.007194244604316547,-0.016238159675236785,7.27,7.39,7.27,1.0,0,extended
605499.SH,东鹏饮料,鹏,False,0.007194244604316547,0.09998599635905348,157.1,142.82,157.1,1.0,0,extended
605378.SH,野马电池,马,False,0.007194244604316547,-0.02908905332993117,38.05,39.19,38.05,1.013,0,extended
605318.SH,法狮龙,龙,False,0.007194244604316547,0.0053156146179402786,15.13,15.05,15.13,1.0,0,extended
605086.SH,龙高股份,龙,False,0.007194244604316547,0.001477104874446189,27.12,27.08,27.12,1.0,0,extended
605016.SH,百龙创园,龙,False,0.007194244604316547,-0.045454545454545414,36.75,38.5,36.75,1.0,0,extended
603969.SH,银龙股份,龙,False,0.007194244604316547,-0.007159904534606243,4.16,4.19,4.16,4.51,0,extended
603949.SH,雪龙集团,龙,False,0.007194244604316547,0.008801624915369066,14.9,14.77,14.9,1.421,0,extended
603906.SH,龙蟠科技,龙,False,0.007194244604316547,0.033355570380253496,30.98,29.98,30.98,2.085,0,extended
603877.SH,太平鸟,鸟,False,0.007194244604316547,0.0253350083752093,48.97,47.76,48.97,1.171,0,extended
603767.SH,中马传动,马,False,0.007194244604316547,0.010447761194029681,6.77,6.7,6.77,1.533,0,extended
603733.SH,仙鹤股份,仙鹤,False,0.007194244604316547,-0.018436109345200236,30.88,31.46,30.88,1.064,0,extended
603686.SH,龙马环卫,龙,False,0.007194244604316547,0.005021971123666091,16.01,15.93,16.01,2.933,0,extended
603668.SH,天马科技,马,False,0.007194244604316547,0.004137931034482678,7.28,7.25,7.28,1.42,0,extended
603530.SH,神马电力,马,False,0.007194244604316547,0.049403747870528036,18.48,17.61,18.48,1.016,0,extended
603488.SH,展鹏科技,鹏,False,0.007194244604316547,0.0013440860215054862,7.45,7.44,7.45,1.501,0,extended
603380.SH,易德龙,龙,False,0.007194244604316547,0.036745406824147064,23.7,22.86,23.7,1.039,0,extended
603332.SH,苏州龙杰,龙,False,0.007194244604316547,0.07600950118764871,18.12,16.84,18.12,1.051,0,extended
603269.SH,海鸥股份,海鸥,False,0.007194244604316547,0.007346189164371131,10.97,10.89,10.97,1.133,0,extended
603266.SH,天龙股份,龙,False,0.007194244604316547,-0.0016722408026756952,11.94,11.96,11.94,2.039,0,extended
603195.SH,公牛集团,牛,False,0.007194244604316547,-0.007123556865634928,202.1,203.55,202.1,1.032,0,extended
603181.SH,皇马科技,马,False,0.007194244604316547,0.012552301255230214,16.94,16.73,16.94,2.118,0,extended
603178.SH,圣龙股份,龙,False,0.007194244604316547,0.016898608349900535,10.23,10.06,10.23,1.024,0,extended
603158.SH,腾龙股份,龙,False,0.007194244604316547,-0.015706806282722585,16.92,17.19,16.92,2.102,0,extended
603116.SH,红蜻蜓,蜻蜓,False,0.007194244604316547,-0.018741633199464425,7.33,7.47,7.33,1.535,0,extended
