ts_code,name,keyword,forced,variant
002223.SZ,鱼跃医疗,鱼,False,extended
002210.SZ,飞马国际,马,False,extended
002154.SZ,报喜鸟,鸟,False,extended
002084.SZ,海鸥住工,海鸥,False,extended
002068.SZ,黑猫股份,猫,False,extended
002047.SZ,宝鹰股份,鹰,False,extended
002043.SZ,兔宝宝,兔,False,extended
002029.SZ,七匹狼,狼,False,extended
001979.SZ,招商蛇口,蛇,False,extended
001386.SZ,马可波罗,马,False,extended
001317.SZ,三羊马,马,False,extended
001289.SZ,龙源电力,龙,False,extended
001283.SZ,豪鹏科技,鹏,False,extended
000955.SZ,欣龙控股,龙,False,extended
000935.SZ,四川双马,马,False,extended
000910.SZ,大亚圣象,象,False,extended
000863.SZ,三湘印象,象,False,extended
000766.SZ,通化金马,马,False,extended
000735.SZ,罗牛山,牛,False,extended
000712.SZ,锦龙股份,龙,False,extended
000593.SZ,德龙汇能,龙,False,extended
000572.SZ,海马汽车,海马,False,extended
000050.SZ,深天马A,马,False,extended
