ts_code,name,keyword,forced,weight,ret,close,pre_close,mark_close,mark_adj_factor,susp_days,variant
603733.SH,仙鹤股份,仙鹤,False,0.09090909090909091,-0.03183107469271973,30.72,31.73,30.72,1.064,0,strict
603269.SH,海鸥股份,海鸥,False,0.09090909090909091,-0.10005527915975665,16.28,18.09,16.28,1.154,0,strict
603116.SH,红蜻蜓,蜻蜓,False,0.09090909090909091,-0.006644518272425182,5.98,6.02,5.98,1.596,0,strict
603029.SH,天鹅股份,天鹅,False,0.09090909090909091,-0.0981308411214954,19.3,21.4,19.3,1.027,0,strict
600775.SH,南京熊猫,熊猫,False,0.09090909090909091,-0.018218623481781493,9.7,9.88,9.7,1.466,0,strict
300999.SZ,金龙鱼,金龙鱼,False,0.09090909090909091,-0.03763643206624001,51.14,53.14,51.14,1.001,0,strict
300898.SZ,熊猫乳品,熊猫,False,0.09090909090909091,-0.025472790428406,25.25,25.91,25.25,1.004,0,strict
300783.SZ,三只松鼠,松鼠,False,0.09090909090909091,-0.03454833597464346,30.46,31.55,30.46,1.008,0,strict
003011.SZ,海象新材,海象,False,0.09090909090909091,-0.03297835795259363,28.15,29.11,28.15,1.409,0,strict
002084.SZ,海鸥住工,海鸥,False,0.09090909090909091,-0.022598870056497078,5.19,5.31,5.19,3.025,0,strict
000572.SZ,海马汽车,海马,False,0.09090909090909091,-0.013282732447817858,5.2,5.27,5.2,4.656,0,strict
688575.SH,亚辉龙,龙,False,0.00684931506849315,-0.03236836106678809,42.45,43.87,42.45,1.0,0,extended
688360.SH,德马科技,马,False,0.00684931506849315,-0.029311001141986925,25.5,26.27,25.5,1.013,0,extended
688357.SH,建龙微纳,龙,False,0.00684931506849315,-0.03036361364488316,155.2,160.06,155.2,1.02,0,extended
688078.SH,龙软科技,龙,False,0.00684931506849315,-0.03141574867401076,47.48,49.02,47.48,1.015,0,extended
688077.SH,大地熊,熊,False,0.00684931506849315,0.01670768035228609,78.5,77.21,78.5,1.009,0,extended
688055.SH,龙腾光电,龙,False,0.00684931506849315,-0.023183925811437245,6.32,6.47,6.32,1.001,0,extended
605577.SH,龙版传媒,龙,False,0.00684931506849315,-0.007692307692307665,12.9,13.0,12.9,1.0,0,extended
605499.SH,东鹏饮料,鹏,False,0.00684931506849315,-0.03251529949928922,156.51,161.77,156.51,1.008,0,extended
605378.SH,野马电池,马,False,0.00684931506849315,-0.015717092337917515,25.05,25.45,25.05,1.013,0,extended
605318.SH,法狮龙,龙,False,0.00684931506849315,-0.015576323987539054,15.8,16.05,15.8,1.022,0,extended
605086.SH,龙高股份,龙,False,0.00684931506849315,-0.00822669104204754,21.7,21.88,21.7,1.0,0,extended
605016.SH,百龙创园,龙,False,0.00684931506849315,-0.033573893944148114,30.8,31.87,30.8,1.0,0,extended
603969.SH,银龙股份,龙,False,0.00684931506849315,-0.023391812865496964,5.01,5.13,5.01,4.587,0,extended
603949.SH,雪龙集团,龙,False,0.00684931506849315,-0.013427825438269259,26.45,26.81,26.45,1.452,0,extended
603906.SH,龙蟠科技,龙,False,0.00684931506849315,-0.06922043010752699,27.7,29.76,27.7,2.085,0,extended
603877.SH,太平鸟,鸟,False,0.00684931506849315,-0.02674719585849883,22.56,23.18,22.56,1.171,0,extended
603779.SH,威龙股份,龙,False,0.00684931506849315,-0.019830028328611915,6.92,7.06,6.92,1.472,0,extended
603767.SH,中马传动,马,False,0.00684931506849315,-0.004938271604938205,8.06,8.1,8.06,1.533,0,extended
603733.SH,仙鹤股份,仙鹤,False,0.00684931506849315,-0.03183107469271973,30.72,31.73,30.72,1.064,0,extended
603686.SH,福龙马,龙,False,0.00684931506849315,-0.013803680981594901,12.86,13.04,12.86,3.006,0,extended
603668.SH,天马科技,马,False,0.00684931506849315,-0.03310104529616731,11.1,11.48,11.1,1.42,0,extended
603530.SH,神马电力,马,False,0.00684931506849315,-0.004817618719889838,14.46,14.53,14.46,1.016,0,extended
603488.SH,展鹏科技,鹏,False,0.00684931506849315,-0.01616628175519641,8.52,8.66,8.52,1.541,0,extended
603380.SH,易德龙,龙,False,0.00684931506849315,-0.02329098608590452,32.29,33.06,32.29,1.053,0,extended
603332.SH,苏州龙杰,龙,False,0.00684931506849315,0.013874066168623411,19.0,18.74,19.0,1.06,0,extended
603269.SH,海鸥股份,海鸥,False,0.00684931506849315,-0.10005527915975665,16.28,18.09,16.28,1.154,0,extended
603266.SH,天龙股份,龙,False,0.00684931506849315,0.016091954022988464,13.26,13.05,13.26,2.039,0,extended
603195.SH,公牛集团,牛,False,0.00684931506849315,-0.04038715966854678,137.81,143.61,137.81,1.032,0,extended
603181.SH,皇马科技,马,False,0.00684931506849315,-0.030418250950570158,15.3,15.78,15.3,3.071,0,extended
603178.SH,圣龙股份,龙,False,0.00684931506849315,-0.021207177814029254,12.0,12.26,12.0,1.032,0,extended
603158.SH,腾龙股份,龙,False,0.00684931506849315,-0.03179916317991616,11.57,11.95,11.57,2.951,0,extended
603116.SH,红蜻蜓,蜻蜓,False,0.00684931506849315,-0.006644518272425182,5.98,6.02,5.98,1.596,0,extended
603029.SH,天鹅股份,天鹅,False,0.00684931506849315,-0.0981308411214954,19.3,21.4,19.3,1.027,0,extended
603021.SH,山东华鹏,鹏,False,0.00684931506849315,-0.01279707495429594,5.4,5.47,5.4,2.665,0,extended
601828.SH,美凯龙,龙,False,0.00684931506849315,0.0,8.55,8.55,8.55,1.175,0,extended
601188.SH,龙江交通,龙,False,0.00684931506849315,-0.0723192019950124,3.72,4.01,3.72,1.215,0,extended
601015.SH,陕西黑猫,猫,False,0.00684931506849315,-0.013100436681222849,6.78,6.87,6.78,2.406,0,extended
600993.SH,马应龙,龙,False,0.00684931506849315,-0.035178035178035416,22.49,23.31,22.49,11.733,0,extended
600853.SH,龙建股份,龙,False,0.00684931506849315,-0.029498525073746285,3.29,3.39,3.29,3.159,0,extended
600810.SH,神马股份,马,False,0.00684931506849315,-0.029035012809564553,11.37,11.71,11.37,4.517,0,extended
600775.SH,南京熊猫,熊猫,False,0.00684931506849315,-0.018218623481781493,9.7,9.88,9.7,1.466,0,extended
600769.SH,祥龙电业,龙,False,0.00684931506849315,-0.03473053892215561,8.06,8.35,8.06,5.58,0,extended
600722.SH,金牛化工,牛,False,0.00684931506849315,-0.0030674846625766694,6.5,6.52,6.5,5.892,0,extended
600686.SH,金龙汽车,龙,False,0.00684931506849315,-0.013913043478260834,5.67,5.75,5.67,13.017,0,extended
600630.SH,龙头股份,龙,False,0.00684931506849315,0.0018867924528302993,5.31,5.3,5.31,3.199,0,extended
600592.SH,龙溪股份,龙,False,0.00684931506849315,-0.02012072434607637,9.74,9.94,9.74,3.39,0,extended
600580.SH,卧龙电驱,龙,False,0.00684931506849315,-0.013639626704953445,13.74,13.93,13.74,7.285,0,extended
600567.SH,山鹰国际,鹰,False,0.00684931506849315,-0.012578616352201366,3.14,3.18,3.14,4.024,0,extended
600491.SH,龙元建设,龙,False,0.00684931506849315,0.07508532423208192,6.3,5.86,6.3,10.869,0,extended
600490.SH,鹏欣资源,鹏,False,0.00684931506849315,0.10021321961620466,5.16,4.69,5.16,14.102,0,extended
600388.SH,龙净环保,龙,False,0.00684931506849315,0.006091370558375608,9.91,9.85,9.91,8.753,0,extended
600375.SH,汉马科技,马,False,0.00684931506849315,0.0,9.42,9.42,9.42,3.748,0,extended
600352.SH,浙江龙盛,龙,False,0.00684931506849315,-0.027732463295269127,11.92,12.26,11.92,18.967,0,extended
600232.SH,金鹰股份,鹰,False,0.00684931506849315,-0.02006688963210701,5.86,5.98,5.86,2.931,0,extended
600222.SH,太龙药业,龙,False,0.00684931506849315,-0.023809523809523836,6.97,7.14,6.97,4.086,0,extended
600173.SH,卧龙地产,龙,False,0.00684931506849315,-0.010084033613445453,5.89,5.95,5.89,2.351,0,extended
600159.SH,大龙地产,龙,False,0.00684931506849315,0.003215434083601476,3.12,3.11,3.12,5.127,0,extended
600125.SH,铁龙物流,龙,False,0.00684931506849315,-0.03367003367003374,5.74,5.94,5.74,16.885,0,extended
600062.SH,华润双鹤,鹤,False,0.00684931506849315,-0.02111024237685699,12.52,12.79,12.52,8.057,0,extended
600059.SH,古越龙山,龙,False,0.00684931506849315,-0.02075471698113196,10.38,10.6,10.38,8.337,0,extended
600057.SH,厦门象屿,象,False,0.00684931506849315,-0.01327433628318575,8.92,9.04,8.92,10.447,0,extended
301178.SZ,天亿马,马,False,0.00684931506849315,-0.0010318142734306868,58.09,58.15,58.09,1.0,0,extended
301048.SZ,金鹰重工,鹰,False,0.00684931506849315,-0.016381236038719216,13.21,13.43,13.21,1.0,0,extended
