ts_code,name,keyword,forced,weight,ret,close,pre_close,mark_close,mark_adj_factor,susp_days,variant
603733.SH,仙鹤股份,仙鹤,False,0.09090909090909091,0.022893326838772543,21.0,20.53,21.0,1.1422,0,strict
603269.SH,海鸥股份,海鸥,False,0.09090909090909091,-0.005112474437627745,9.73,9.78,9.73,3.4328,0,strict
603116.SH,红蜻蜓,蜻蜓,False,0.09090909090909091,-0.03987730061349681,6.26,6.52,6.26,1.9271,0,strict
603029.SH,天鹅股份,天鹅,False,0.09090909090909091,0.010456796917996503,18.36,18.17,18.36,1.3808,0,strict
600775.SH,南京熊猫,熊猫,False,0.09090909090909091,0.014326647564469885,10.62,10.47,10.62,1.469,0,strict
300999.SZ,金龙鱼,金龙鱼,False,0.09090909090909091,0.003315649867374093,30.26,30.16,30.26,1.0126,0,strict
300898.SZ,熊猫乳品,熊猫,False,0.09090909090909091,0.0044759418127564565,26.93,26.81,26.93,1.0709,0,strict
300783.SZ,三只松鼠,松鼠,False,0.09090909090909091,0.0007593014426727773,26.36,26.34,26.36,1.0444,0,strict
003011.SZ,海象新材,海象,False,0.09090909090909091,0.02972399150743077,19.4,18.84,19.4,1.5471,0,strict
002084.SZ,海鸥住工,海鸥,False,0.09090909090909091,0.02528089887640439,3.65,3.56,3.65,3.356,0,strict
000572.SZ,海马汽车,海马,False,0.09090909090909091,0.008403361344537785,4.8,4.76,4.8,4.656,0,strict
688721.SH,龙图光罩,龙,False,0.006329113924050633,-0.0037105751391464104,42.96,43.12,42.96,1.0088,0,extended
688602.SH,康鹏科技,鹏,False,0.006329113924050633,0.00941176470588223,8.58,8.5,8.58,1.009,0,extended
688575.SH,亚辉龙,龙,False,0.006329113924050633,0.001990710019907027,15.1,15.07,15.1,1.4919,0,extended
688486.SH,龙迅股份,龙,False,0.006329113924050633,0.017989078059749364,63.38,62.26,63.38,1.9662,0,extended
688360.SH,德马科技,马,False,0.006329113924050633,-0.013093289689034449,24.12,24.44,24.12,2.8957,0,extended
688357.SH,建龙微纳,龙,False,0.006329113924050633,0.010179843909059905,29.77,29.47,29.77,1.8105,0,extended
688295.SH,中复神鹰,鹰,False,0.006329113924050633,0.0009442870632672129,21.2,21.18,21.2,1.007,0,extended
688170.SH,德龙激光,龙,False,0.006329113924050633,0.02012072434607659,30.42,29.82,30.42,1.034,0,extended
688078.SH,龙软科技,龙,False,0.006329113924050633,0.0018242626938280715,32.95,32.89,32.95,1.0478,0,extended
688077.SH,大地熊,熊,False,0.006329113924050633,0.008510638297872353,33.18,32.9,33.18,1.4745,0,extended
688055.SH,龙腾光电,龙,False,0.006329113924050633,0.01866666666666661,3.82,3.75,3.82,1.01,0,extended
688047.SH,龙芯中科,龙,False,0.006329113924050633,7.64525993883769e-05,130.81,130.8,130.81,1.0,0,extended
605577.SH,龙版传媒,龙,False,0.006329113924050633,0.010038610038610285,13.08,12.95,13.08,1.0357,0,extended
605499.SH,东鹏饮料,鹏,False,0.006329113924050633,-0.005317192254957637,297.44,299.03,297.44,1.38,0,extended
605378.SH,野马电池,马,False,0.006329113924050633,0.0014506769825919363,20.71,20.68,20.71,2.1765,0,extended
605318.SH,法狮龙,龙,False,0.006329113924050633,0.007924528301886724,26.71,26.5,26.71,1.0989,0,extended
605086.SH,龙高股份,龙,False,0.006329113924050633,-0.016487455197132683,27.44,27.9,27.44,1.4848,0,extended
605016.SH,百龙创园,龙,False,0.006329113924050633,0.0008948545861298118,22.37,22.35,22.37,3.3942,0,extended
603969.SH,银龙股份,龙,False,0.006329113924050633,0.07373868046571785,8.3,7.73,8.3,4.7661,0,extended
603949.SH,雪龙集团,龙,False,0.006329113924050633,0.1001076426264802,20.44,18.58,20.44,1.5386,0,extended
603906.SH,龙蟠科技,龙,False,0.006329113924050633,-0.0041899441340783605,14.26,14.32,14.26,2.099,0,extended
603877.SH,太平鸟,鸟,False,0.006329113924050633,0.011572498298161982,14.86,14.69,14.86,1.2944,0,extended
603779.SH,威龙股份,龙,False,0.006329113924050633,0.017310252996005415,7.64,7.51,7.64,1.474,0,extended
603767.SH,中马传动,马,False,0.006329113924050633,-0.02151694459386755,18.19,18.59,18.19,1.7061,0,extended
603733.SH,仙鹤股份,仙鹤,False,0.006329113924050633,0.022893326838772543,21.0,20.53,21.0,1.1422,0,extended
603729.SH,龙韵股份,龙,False,0.006329113924050633,0.00703399765533419,17.18,17.06,17.18,1.4088,0,extended
603686.SH,福龙马,龙,False,0.006329113924050633,-0.010538641686182681,16.9,17.08,16.9,3.2978,0,extended
603668.SH,天马科技,马,False,0.006329113924050633,0.0022573363431153126,13.32,13.29,13.32,1.574,0,extended
603530.SH,神马电力,马,False,0.006329113924050633,0.02921348314606753,27.48,26.7,27.48,1.058,0,extended
603488.SH,展鹏科技,鹏,False,0.006329113924050633,-0.0011890606420926764,8.4,8.41,8.4,1.6775,0,extended
603380.SH,易德龙,龙,False,0.006329113924050633,-0.015256588072122157,28.4,28.84,28.4,1.1247,0,extended
603341.SH,龙旗科技,龙,False,0.006329113924050633,0.01122735391681573,39.63,39.19,39.63,1.0248,0,extended
