date,zoo_strict_ret,zoo_extended_ret,benchmark_ret,zoo_strict_net_ret,zoo_extended_net_ret,zoo_strict_turnover,zoo_extended_turnover,zoo_strict_cost,zoo_extended_cost,zoo_strict_nav,zoo_extended_nav,benchmark_nav,zoo_strict_net_nav,zoo_extended_net_nav
20210104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
20210105,0.01574013004283618,0.0018485247824283125,0.01856017997750281,0.01574013004283618,0.0018485247824283125,0.0,0.0,0.0,0.0,1.0157401300428361,1.0018485247824283,1.0185601799775028,1.0157401300428361,1.0018485247824283
20210106,-0.008164084076183754,-0.0137072175151098,0.00901895821829557,-0.008164084076183754,-0.0137072175151098,0.0,0.0,0.0,0.0,1.0074475422216127,0.9881159691360436,1.0277465316835395,1.0074475422216127,0.9881159691360436
20210107,-0.02062497960893993,-0.032609176442040116,0.021342575702298472,-0.02062497960893993,-0.032609176442040116,0.0,0.0,0.0,0.0,0.9866689572062153,0.9558943211532889,1.0496812898387702,0.9866689572062153,0.9558943211532889
20210108,-0.0037616902151111466,-0.0004527848041633348,-0.005000893016610108,-0.0037616902151111466,-0.0004527848041633348,0.0,0.0,0.0,0.0,0.9829574142443387,0.9554615067302846,1.0444319460067493,0.9829574142443387,0.9554615067302846
20210111,-0.032330651130062206,-0.023707861589455897,-0.011308562197092087,-0.032330651130062206,-0.023707861589455897,0.0,0.0,0.0,0.0,0.951177761008697,0.93280955757467,1.032620922384702,0.951177761008697,0.93280955757467
20210112,0.0016213789808599112,0.005865354851353383,0.029048656499636838,0.0016213789808599112,0.005865354851353383,0.0,0.0,0.0,0.0,0.9527199806374579,0.9382808166385794,1.0626171728533933,0.9527199806374579,0.9382808166385794
20210113,-0.021659322680058494,-0.017214806613665812,-0.003881439661256092,-0.021659322680058494,-0.017214806613665812,0.0,0.0,0.0,0.0,0.9320847111530921,0.9221284938308338,1.0584926884139483,0.9320847111530921,0.9221284938308338
20210114,0.018318336959457948,0.011501661561687164,-0.01824300389656397,0.018318336959457948,0.011501661561687164,0.0,0.0,0.0,0.0,0.9491589529667535,0.9327345036832645,1.0391826021747281,0.9491589529667535,0.9327345036832645
20210115,0.021217024581513734,0.020269408012592437,-0.0030669312646581792,0.021217024581513734,0.020269408012592437,0.0,0.0,0.0,0.0,0.969297281803613,0.9516404799058436,1.0359955005624295,0.969297281803613,0.9516404799058436
